log;nome;cnpj;status;endereco;cidade;estado;anotacao;telefone;email;instagram;site;decisor;telefone_decisor;marcadores;mesorregiao;
;Nick Vick Beauty Shop;05.418.143/0001-31;Descoberto;RUA MARTIM FRANCISCO - 316 - SANTA PAULA - São caetano do sul - SP - 09541-330;SÃO CAETANO DO SUL;SP;;1142261210;;https://www.instagram.com/NVBEAUTYSHOPOFICIAL;https://www.nvbeautyshop.com.br/;NEUSA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Kaorys Perfumaria Diadema;29.935.113/0001-60;Descoberto;AVENIDA PRESIDENTE KENNEDY (JD PITANGUEIRAS), 39 - CENTRO - DIADEMA/SP 09913-000;DIADEMA;SP;;11 98231-9454;;https://www.instagram.com/kaorysperfumariaoficial/;https://www.kaorysperfumaria.com.br/;FERNANDA / ADRIANA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;MEILIY COSMETICOS;51.144.611/0001-44;Descoberto;AVENIDA ANTONIO PIRANGA - 142 - CENTRO - Diadema - SP - 09911-160;DIADEMA;SP;;13981251849;;https://www.instagram.com/meiliycosmeticossp/;;JONATAS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;NOSSA BELEZA PERFUMARIA;11.233.167/0001-19;Descoberto;RUA PAU DO CAFE, 1217 - CASA GRANDE - DIADEMA/SP 09962-375;DIADEMA;SP;;(11) 4055-5630;;https://www.instagram.com/nossabelezaserraria/;;FELIPE / ELIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;IRIE PERFUMARIA;10.991.584/0001-68;Descoberto;RUA ANTONIO DIAS ADORNO, 463 - VILA NOGUEIRA - DIADEMA/SP 09951-000;DIADEMA;SP;;11 40762632;;https://www.instagram.com/irieperfumaria/;https://shopee.com.br/netbeauty1?v=405&smtt=0.0.3;ANDRE;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Perfumaria Sofisa;24.527.324/0001-40;Descoberto;AVENIDA ANTONIO SYLVIO CUNHA BUENO - 921 - INAMAR - Diadema - SP - 09970-160;DIADEMA;SP;;(11) 94738-1592;;https://www.instagram.com/sofisa_perfumaria/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;STILLOS COSMETICOS ;20.121.847/0001-31;Descoberto;Av. Lico Maia, 497 - Conceição, Diadema - SP, 09981-420;DIADEMA;SP;; 11 94951-4380;;https://www.instagram.com/perfumariastilloscosmeticos516/;;SUELI;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;SAMYRA COSMETICOS;19.474.624/0001-79;Descoberto;RUA ALVARENGA PEIXOTO, 55 - VILA NOGUEIRA - DIADEMA/SP 09960-440;DIADEMA;SP;;11982581459;;https://www.instagram.com/samyracosmeticosdda/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Todah Cosméticos e Perfumaria;03.447.035/0001-61;Descoberto;PRACA BOM JESUS DE PIRAPORINHA - 336 - PIRAPORINHA - Diadema - SP - 09951-550;DIADEMA;SP;;11996500450;;https://www.instagram.com/todahcosmeticos/;;CRISTIANE / MARCELO;(11) 98700-0383;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA MONALISA;47.436.709/0001-06;Descoberto;AVENIDA ITAMARATI, 1711 - VILA CURUCA - SANTO ANDRÉ/SP 09290-730;DIADEMA;SP;;(11) 99991-0831;;https://www.instagram.com/perfumaria.monalisa/;;ANDRESSA / MARLENE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA TAMMY  ;04.947.717/0001-04;Descoberto;PRACA BOM JESUS DE PIRAPORINHA, 49 - PIRAPORINHA - DIADEMA/SP 09951-550;DIADEMA;SP;;(11) 99733-6555;;https://www.instagram.com/tammyperfumaria/;;ALESSANDRO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA CRYSTAL;14.003.549/0001-44;Descoberto;AVENIDA PRESIDENTE JUSCELINO, 1099 - PIRAPORINHA - DIADEMA/SP 09950-370;DIADEMA;SP;;11 4067-7831;;https://www.instagram.com/perfumaria.crystal/;;LUCIANA / JOSE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;LENI PERFUMARIA;22.837.823/0001-09;Descoberto;AVENIDA ALBERTO JAFET (VL ANA SOFIA) - 870 - VILA NOGUEIRA - Diadema - SP - 09951-110;DIADEMA;SP;;11987268734;;https://www.instagram.com/leniperfumaria/;;LENITA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Helen Charm;;Descoberto;Av. Inocêncio Píres de Oliveira, 187 - Loja 4 - Caucaia do Alto, Cotia - SP, 06725-105;Cotia;SP;;11942381990;;https://www.instagram.com/helencharm_/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;DASLINDAS COSMETICOS ;05.988.707/0001-71;Descoberto;AVENIDA ELIAS ALVES DA COSTA - 281 - CENTRO - Vargem grande paulista - SP - 06730-000;Vargem grande paulista;SP;;11 94145-1364;;https://www.instagram.com/daslindascosmeticos/;;ANDERSON;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;COSMETICOS DIRCE;04.186.968/0001-05;Descoberto;AVENIDA INOCENCIO SERAFICO, 3597 - VILA SILVA RIBEIRO - CARAPICUÍBA/SP 06380-021;CARAPICUÍBA;SP;;1141892701;;https://www.instagram.com/dircecosmeticos/;;ALLAN;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;JR COSMETICOS E PERFUMARIA;18.124.972/0001-53;Descoberto;AVENIDA INOCENCIO SERAFICO, 3644 - VILA DIRCE - CARAPICUÍBA/SP 06343-410;CARAPICUÍBA;SP;; 11 4553-5744;;https://www.instagram.com/jrcosmeticoseperfumaria;;JORGIVALDO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ONNIX COSMETICOS;00.978.917/0001-65;Descoberto;RUA MARECHAL DEODORO, 670 - CENTRO - SÃO BERNARDO DO CAMPO/SP 09710-000;CARAPICUÍBA;SP;;114184 6745;;https://www.instagram.com/onnixcosmeticosoficial/;;LEILA;(11) 98394-3471;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Bella Cosméticos Carapicuíba;30.003.899/0001-67;Descoberto;Avenida Inocêncio Seráfico, 1653, Carapicuíba, Brazil 06380-020;CARAPICUÍBA;SP;;11 95423-9442;kellycamargo28@gmail.com;https://www.instagram.com/maisbellacarapicuiba/;;KELLY;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;BELISSIMA COSMETICOS;15.631.247/0001-83;Descoberto;ESTRADA DO COPIUVA, 1780 - PARQUE JANDAIA - CARAPICUÍBA/SP 06330-000;CARAPICUÍBA;SP;;1143743516;;https://www.instagram.com/belissimacosmeticoscarapicuiba/;;EDSON;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Jasmine Cosméticos;29.576.417/0001-89;Descoberto;AVENIDA BRIGADEIRO MANOEL RODRIGUES JORDAO - 1509 - JARDIM SILVEIRA - Barueri - SP - 06433-010;BARUERI;SP;;(11) 2321-1057;ludmila@jasminecosmeticos.com.br;https://www.instagram.com/jasminecosmeticos/;https://www.jasminecosmeticos.com.br/;LUDMILA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Lojas Royal Cosméticos;46.350.228/0001-02;Descoberto;RUA ANTONIO AGU - 617 - CENTRO - Osasco - SP - 06013-003;Osasco;SP;;(11)99996-8792;;https://www.instagram.com/lojasroyalcosmeticos/;https://www.royalcosmeticos.com.br/;FLAVIO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Gabi Cosméticos;08.490.421/0001-50;Descoberto;Avenida Zélia, 569, Barueri, Brazil 06436000;BARUERI;SP;;(11) 98348-8359;;https://www.instagram.com/gabicosmeticos_/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Bmake e acessórios;;Descoberto;Av. Zélia, 1158 - Parque dos Camargos, Barueri - SP, 06436-000;BARUERI;SP;;11958657698;;https://www.instagram.com/bmake.acessorios/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Beautyline Cosméticos;35.604.811/0001-86;Descoberto;RUA DAS AMAZONAS - 240 - PORTAIS (POLVILHO) - Cajamar - SP - 07790-850;Cajamar;SP;;(11) 91034-3423;pedro@mdcl.com.br;https://www.instagram.com/beautylinecosmeticosbr/;https://www.beautyemcasa.com.br/;PEDRO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Perfumaria Carícia;11.491.504/0001-78;Descoberto;AVENIDA TENENTE MARQUES - 2051 - PANORAMA (POLVILHO) - Cajamar - SP - 07792-820;Cajamar;SP;;11 44980216;;https://www.instagram.com/perfumariacaricia/;;EDUARDO / LUCIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA BELIEVE;17.121.181/0001-07;Descoberto;AVENIDA DEOVAIR CRUZ DE OLIVEIRA - 385 - CONDOMINIO PENTEADO - Cajamar - SP - 07776-435;Cajamar;SP;;(11) 95246-3419;;https://www.instagram.com/perfumaria.believe/;;SIVONEI;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ANA FIORE PERFUMARIA;24.554.139/0001-45;Descoberto;Av. Ver. Joaquim Pereira Barbosa, 227 - Jardim Nova Jordanésia, Cajamar - SP, 07770-000;Cajamar;SP;;(11) 99988-3788;anaroberta.costa89@gmail.com;https://www.instagram.com/anafioreperfumariaoficial/;;ANA ROBERTA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Kelli Perfumaria Oficial;31.131.934/0001-96;Descoberto;Av. Prof. Carvalho Pinto, 72 - Centro, Caieiras - SP, 07700-000;Caieiras;SP;;1144421017;;https://www.instagram.com/kelliperfumaria/;https://kelliperfumaria.com.br/;WALLISON;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Bizú Cosméticos;32.135.389/0001-79;Descoberto;Rua Danilo Valbuza, 728, Caieiras 07747300;Caieiras;SP;;11 48995668;;https://www.instagram.com/bizucosmeticos/;;TELMA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Espaco Jade Nail Designer;;Descoberto;Rua hipolito trigo santiago 253, Franco da Rocha 07804080;Franco da Rocha;SP;;11963761832;;https://www.instagram.com/jadeperfumariaeacessorios/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Valdir Cosmeticos;18.146.281/0001-50;Descoberto;RUA PROGRESSO - 830 - CENTRO - Francisco morato - SP - 07901-080; Francisco Morato;SP;;11 96644-0697;;https://www.instagram.com/valdir_cosmeticos/;http://www.valdirmac.com/index.php;ZILANDA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;CIGANA COSMETICOS;50.853.720/0014-92;Descoberto;RUA GERONIMO CAETANO GARCIA, 111 - CENTRO - FRANCISCO MORATO/SP 07901-970; Francisco Morato;SP;;11950856121;;https://www.instagram.com/ciganabeleza/;https://www.ciganabeleza.com.br/;LUIZ;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;GE PERFUMARIA;04.111.991/0001-30;Descoberto;AVENIDA PREFEITO CASSIANO GONCALVES PASSOS, 43 - CENTRO - FRANCISCO MORATO/SP 07901-005; Francisco Morato;SP;;(11) 995465410;;https://www.instagram.com/geperfumariamorato/;;GERTRUDES;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;TOP COSMETICOS;07.218.342/0001-21;Descoberto;Av ayrton senna 273 jd santa maria - Osasco, São Paulo, Brazil 06149201;OSASCO;SP;;11 949502252;;https://www.instagram.com/topcosmeticos_santamaria/;;FERNANDA;(11) 95904-8419;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Arco Íris ;17.086.494/0001-71;Descoberto;Av. Crisântemo, 136 - Jardim das Flores, Osasco - SP, 06112-100;OSASCO;SP;;11999720585;;https://www.instagram.com/Arco.iris.oficial_/;;DURVALINA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Girassol Cosméticos;05.262.047/0001-47;Descoberto;RUA DANTE BATTISTON - 277 - CENTRO - Osasco - SP - 06013-030;OSASCO;SP;;11947719257;;https://www.instagram.com/girassolcosmeticos.osasco/;;CRISTINA / NELSON;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Clasbel Osasco;72.985.872/0001-67;Descoberto;AVENIDA DR JOAO DE ANDRADE, 1874 - JD STO ANTONIO - OSASCO/SP 06132-006;OSASCO;SP;;11943380878;;https://www.instagram.com/clasbelosasco/;;LEILA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Osasco;02.269.072/0001-64;Descoberto;RUA REPUBLICA DO LIBANO, 101 - CENTRO - OSASCO/SP 06013-060;OSASCO;SP;;11960436282;;https://www.instagram.com/osascoperfumaria/;;RICARDO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Dirce cosméticos;05.920.489/0001-33;Descoberto;Rua doutor bento vidal 38, Osasco, Sao Paulo;OSASCO;SP;;11 91733-9996;;https://www.instagram.com/dircecosmeticososasco/;;DIRCE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Daikin Cosméticos;24.865.160/0001-61;Descoberto;AVENIDA JOAO DE ANDRADE, 1180 / 1186 - SANTO ANTONIO - OSASCO/SP 06132-002;OSASCO;SP;;(11) 98293-1244;;https://www.instagram.com/daikin.cosmeticos/;;ERICK;(11) 99817-6588;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;JAD COSMETICOS;27.288.548/0001-35;Descoberto;Av. Cruzeiro do Sul, 1258 - Rochdale, Osasco - SP, 06226-000;OSASCO;SP;;11999567799;;https://www.instagram.com/jadcosmeticosmakeup/;;DENISE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Angel Cosméticos;23.229.243/0001-00;Descoberto;AVENIDA PAULO AYRES, 604 - PARQUE PINHEIROS - TABOÃO DA SERRA/SP 06767-220;TABOÃO DA SERRA;SP;;11982232753;rosangelahviana@gmail.com;https://www.instagram.com/angelcosmeticostaboao/;https://shopee.com.br/rosangelahviana;ROSANGELA;(11) 99822-3275;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;KIDOM COSMÉTICOS;41.603.730/0001-64;Descoberto;AVENIDA DOUTOR JOSE MACIEL, 727 - JARDIM MARIA ROSA - TABOÃO DA SERRA/SP 06763-270;TABOÃO DA SERRA;SP;;11911542021;;https://www.instagram.com/kidomcosmeticos/;;ALMIR / DANIELA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Beth’s Cosméticos;46.283.524/0001-38;Descoberto;RUA OSWALDO CRUZ - 319 - BOQUEIRAO - Santos - SP - 11045-100;Santos;SP;;13992023079;;https://www.instagram.com/bethscosmeticosoficial/;https://www.bethscosmeticos.com.br/;ALEXANDRE;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;FLORENCY PERFUMARIA ;66.683.327/0001-13;Descoberto;RUA JOAO PESSOA, 137 - CENTRO - SANTOS/SP 11013-001;Santos;SP;;13 996122244;;https://www.instagram.com/florencyoficial/;;;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Manuella Cosméticos;08.795.564/0001-70;Descoberto;Av. Ademar de Barros, 1634 - Jardim Primavera, Guarujá - SP, 11430-002;Guarujá;SP;;13974041979;;https://www.instagram.com/manuellacosmeticos/;https://www.manuellacosmeticos.com.br/;THYAGO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;MIRRA PERFUMARIA E COSMETICOS;42.344.824/0001-29;Descoberto;RUA SANTA ELIZABETH, 361 - VILA PARAISO - GUARULHOS/SP 07241-170;GUARULHOS;SP;;1142156387;;https://www.instagram.com/mirra.perfumaria/;; NICE ;(11) 98388-8553;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;LUPI COSMETICOS;35.161.624/0001-75;Descoberto;;SANTOS;SP;;13996362793;;https://www.instagram.com/lupicosmeticosoficial;https://www.lupicosmeticos.com.br/;IRIS;;13;Metropolitada São Paulo (Sem Capital);ONLINE
;Vinny Bijouterias;28.905.567/0001-26;Descoberto;AVENIDA DOS EXPEDICIONARIOS - 77 - Franco da rocha - SP - 07803-010 (Shopping Franco da rocha - Loja 116/117)  ;Franco da rocha;SP;;(11) 99581-0177;;https://www.instagram.com/bijouteriasvinny/;;VINICIUS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Bello Perfumaria;07.207.548/0001-56;Descoberto;AVENIDA ALVARO GUIMARAES, 924 - PLANALTO - SÃO BERNARDO DO CAMPO/SP 09890-003;SÃO BERNARDO DO CAMPO;SP;;(11) 9 94321970;;https://www.instagram.com/belloperfumaria/;;VALCI;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Sumirê Jandira;03.238.192/0001-67;Descoberto;AVENIDA CONCEICAO DE SAMMARTINO, 528 - CENTRO - JANDIRA/SP 06600-080;JANDIRA;SP;;(11)97382-4494;;https://www.instagram.com/sumirejandira/;;SUELI;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Aflore Cosméticos;06.998.390/0001-17;Descoberto;AVENIDA EMANCIPACAO, 40 - CENTRO - ITAQUAQUECETUBA/SP 08570-002;ITAQUAQUECETUBA;SP;;11986222670;;https://www.instagram.com/aflorecosmeticos/;https://www.aflorecosmeticos.com.br/;KEYLA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Della Cosméticos;27.825.414/0001-06;Descoberto;RUA FREI GASPAR, 531 - CENTRO - SÃO VICENTE/SP 11310-060;SÃO VICENTE;SP;;13996796970;;https://www.instagram.com/dellacosmeticosoficial/;https://www.dellacosmeticos.com.br/;SERGIO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;DAYARA COSMETICOS;09.511.607/0001-00;Descoberto;PRAÇA JOÃO PESSOA, 46 - CENTRO, ITAPECERICA DA SERRA - SP, 06850-710, BRAZIL;ITAPECERICA DA SERRA;SP;; 11 996434508;;https://www.instagram.com/cosmeticosdayara/;;CESAR;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Rhara Cosméticos;27.815.756/0001-45;Descoberto;AVENIDA WASHINGTON LUIS, 500 - GONZAGA - SANTOS/SP 11055-000;SANTOS;SP;;(13)3289-4404;;https://www.instagram.com/rharacosmeticos/;;ADELAIDE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Bella Cosméticos Taboão;26.626.025/0001-99;Descoberto;ESTRADA KIZAEMON TAKEUTI, 2560 - PARQUE SAO JOAQUIM - TABOÃO DA SERRA/SP 06775-003;TABOÃO DA SERRA;SP;;11989758342;;https://www.instagram.com/bellacosmeticostaboao/;https://www.lojasbellacosmeticos.com.br/;;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Anabelly Cotia;40.075.019/0001-11;Descoberto;AVENIDA PROFESSOR JOSE BARRETO - 101 - CENTRO - Cotia - SP - 06703-001;Cotia;SP;;11 91186-8655;;https://www.instagram.com/anabellycotia/;;ALEXANDRE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Paraiso;06.077.545/0001-82;Descoberto;AVENIDA DO TABOAO, 4.345 - TABOAO - SÃO BERNARDO DO CAMPO/SP 09657-000;SÃO BERNARDO DO CAMPO;SP;;11 9321131085;;https://www.instagram.com/paraiso.perfumaria/;;ORLANDO;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ROTA DA BELEZA PERFUMARIA E COSMETICOS ;10.618.337/0001-10;Descoberto;ESTRADA DE ITAPECERICA A CAMPO LIMPO, 2.647 - JARDIM SANTO EDUARDO - EMBU DAS ARTES/SP 06823-300;EMBU DAS ARTES;SP;;(11) 4782-4165;;https://www.instagram.com/tracos_de_mulher_perfumaria/;;ROBERTO / ADRIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Neide Cosméticos;49.950.595/0001-35;Descoberto;RUA CARVALHO DE MENDONCA, 284 - VILA MATHIAS - SANTOS/SP 11070-101;SANTOS;SP;; 13 99156-8631;;https://www.instagram.com/neidecosmeticossantos;https://neidecosmeticos.com.br/;FABIANO;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;PERFUMARIA INOVA;00.802.756/0001-54;Descoberto;RUA ORATORIO, 1679 - PARQUE DAS NACOES - SANTO ANDRÉ/SP 09280-000;SANTO ANDRÉ;SP;;(11) 96518-3009;;https://www.instagram.com/perfumariainova/;https://www.perfumariainova.com.br/;PATRICIA;(11) 96779-3889;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Perfumaria Carícia;13.532.747/0001-32;Descoberto;AVENIDA TENENTE MARQUES, 4886 - FAZENDINHA - SANTANA DE PARNAÍBA/SP 06530-001;SANTANA DE PARNAÍBA;SP;; 11 41565795;;https://www.instagram.com/perfumariacaricia/;;EDUARDO / LUCIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Tica’s Perfumaria;11.153.240/0001-42;Descoberto;RUA DOUTOR VICENTE DE CARVALHO, 507 - OCIAN - PRAIA GRANDE/SP 11704-300;PRAIA GRANDE;SP;;13981212400;;https://www.instagram.com/ticasperfumaria/;;ALFREDO / SOLANGE ;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Sumire Barueri;02.607.572/0001-69;Descoberto;Avenida Dom Pedro II, 236, Barueri, Brazil 06401060;Barueri;SP;;11933415670;;https://www.instagram.com/sumire_barueri/;;SHIGUERU;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Semper Bella;14.047.549/0001-46;Descoberto;AVENIDA GENERAL BARRETO DE MENEZES, 308 - JARDIM SILVINA - SÃO BERNARDO DO CAMPO/SP 09791-150;SÃO BERNARDO DO CAMPO;SP;;11987200104;;https://www.instagram.com/perfumariasemperbella/;;JOSE / VENUSA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Gel Cosméticos;30.678.889/0001-21;Descoberto;Avenida Marcos Antonio Oggiano, 411, Morrinhos - Guarujá - SP - CEP 11495-011;Guarujá;SP;;13996115421;;https://www.instagram.com/gel_cosmeticos/;https://gelcosmeticos.com.br/;EUCLIDES;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;Luma Cosméticos;34.279.675/0001-33;Descoberto;AVENIDA ANTONIO EMMERICK, 590 - VILA CASCATINHA - SÃO VICENTE/SP 11390-000;SÃO VICENTE;SP;;(13) 988237919;;https://www.instagram.com/cosmeticoslojaluma/;;MOISES;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;ZAKKAY PERFUMARIA;43.941.595/0001-92;Descoberto;RUA PORTO VELHO - 716 - JARDIM CUMBICA - Guarulhos - SP - 07240-060;GUARULHOS;SP;;11 990209871;;https://www.instagram.com/zakkaycumbica;;ANTONIA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;NATHI COSMETICOS;06.258.880/0001-87;Descoberto;RUA ALEXANDRE MARTINS - 51 - APARECIDA - Santos - SP - 11025-201;Santos;SP;;(13) 99615-7302;;https://www.instagram.com/nathicosmeticosoficial/;;JOSE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Isabella Cosméticos;10.724.438/0001-76;Descoberto;RUA JOSE DOMINGOS BRANCO - 39 - CENTRO - Santana de parnaíba - SP - 06501-140;Santana de parnaíba;SP;;11934731799;;https://www.instagram.com/isabellacosmeticos20/;;ELISETE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;LADY COSMETICOS;32.169.032/0001-01;Descoberto;AVENIDA ANCHIETA, 1215 - CENTRO - BERTIOGA/SP 11250-285;BERTIOGA;SP;;(13)98135-2180;;https://www.instagram.com/ladycosmeticosbertioga/;;CLAUDIO ;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;PERFUMARIA JACK'S;03.614.212/0001-57;Descoberto;;;SP;;11978059485;;https://www.instagram.com/perfumariajacks/;;LAERCIO / NEUSA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;NOSSA BELEZA PERFUMARIA;09.481.587/0001-72;Descoberto;AVENIDA ROTARY - 166 - VILA SANTA MARIA - Diadema - SP - 09980-600;Diadema;SP;;(11) 4055-5630;;https://www.instagram.com/nossabelezaserraria/;;FELIPE / ELIANA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Asimões Cosméticos;12.066.218/0001-28;Descoberto;R. RUI BARBOSA, 38 - VILA COSTA, SUZANO - SP, 08675-060;SUZANO;SP;;( 11 ) 94300-6270;;https://www.instagram.com/distribuidoraasimoes/;;ADELSON / CARLOS;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;LUA & FLOR PERFUMARIA E COSMETICOS;29.563.484/0001-69;Descoberto;RUA M.M.D.C., 276 - PAULICEIA - SÃO BERNARDO DO CAMPO/SP 09690-000;SÃO BERNARDO DO CAMPO;SP;;11 978020727;;https://www.instagram.com/luaflor8697/;;OBERDAN;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Styllus Pink;29.432.608/0001-77;Descoberto;AVENIDA SENADOR PINHEIRO MACHADO, 836 - MARAPE - SANTOS/SP 11075-002;SANTOS;SP;;13997701919;;https://www.instagram.com/stylluspink/;www.stylluspink.com.br;JOSE;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;DUQUESA COSMETICOS;26.332.227/0001-28;Descoberto;RUA PRESIDENTE COSTA E SILVA, 312 - HELENA MARIA - OSASCO/SP 06253-000;OSASCO;SP;;11938068383;;https://www.instagram.com/duquesaperfumes/;;FRANCIELLE;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;REIKO COSMÉTICOS & PERFUMARIA;29.046.793/0001-61;Descoberto;AVENIDA 19 DE MAIO, 367 - JARDIM ALBATROZ - BERTIOGA/SP 11250-003;BERTIOGA;SP;;(13)981326668;;https://www.instagram.com/reiko.cosmeticos;;MARCIA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Perfumaria Lu Cosmeticos;26.216.570/0001-07;Descoberto;RUA IMIRIM, 396 - JARDIM NOSSA SENHORA DE FATIMA - JANDIRA/SP 06624-010;JANDIRA;SP;;11975845776;;https://www.instagram.com/lucosmeticosjandira1/;;ANDERSON;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Calis cosméticos;39.935.991/0001-30;Descoberto;AVENIDA ANTONIO EMMERICK, 1513 - VILA CASCATINHA - SÃO VICENTE/SP 11390-001;SÃO VICENTE;SP;;13988259812;artur.meireles@yahoo.com.br;https://www.instagram.com/calis.cosmeticos/;;ARTUR;(13) 99713-0847;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;THALINE PERFUMARIA E COSMETICOS;11.128.226/0001-99;Descoberto;RUA WALDEMAR DE PAULA FERREIRA - 108 - JARDIM PRESIDENTE DUTRA - Guarulhos - SP - 07172-010;GUARULHOS;SP;;(11) 99810-3607;;https://www.instagram.com/thalineperfumaria/;;JOSEFA;;13;Metropolitada São Paulo (Sem Capital);FÍSICA
;Tokai Perfumaria;05.785.321/0001-62;Descoberto;AVENIDA SANTOS DUMONT, 291 - CIDADE JARDIM CUMBICA - GUARULHOS/SP 07180-270;OSASCO;SP;;(11) 2412-9432;;https://www.instagram.com/tokaiperfumaria/;https://shopee.com.br/tokai2021?smtt=0.0.9;GILSON / ERICA;(11) 96468-3011;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
;PERFUMARIA ZINIAS;71.911.788/0001-36;Descoberto;RUA ANTONIO PEREIRA DA CRUZ - 28 - CENTRO - Caieiras - SP - 07700-001;Caieiras;SP;;(11)97169-4655;andiregina@hotmail.com;https://www.instagram.com/perfumaria_zinias;https://ziniasperfumaria.com.br/;ANDIARA;;13;Metropolitada São Paulo (Sem Capital);ONLINE, FÍSICA
